Comunidad,Provincia,Municipio,Nombre,punto_muestreo,adoptada_por,utm_x,utm_y,utm_huso,fecha_toma,escherichia_coli,enterococo,observaciones
Galicia,Coruña (A),Ares,PLAYA RASO - SESELLE,1,nayade.rb,562880.3,4808857.95,29,23/09/2013,10 UFC/100 mL,10 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Ares,PLAYA ARES,1,nayade.rb,561580.79,4808851.15,29,23/09/2013,13 UFC/100 mL,41 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Ares,PLAYA CHANTEIRO,1,nayade.rb,556425.39,4810879.87,29,23/09/2013,1 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Arteixo,PLAYA VALCOBO,1,nayade.rb,537860,4796300,29,23/09/2013,1 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Arteixo,PLAYA O REIRO,1,nayade.rb,535815.85,4795777.08,29,23/09/2013,1 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Arteixo,PLAYA A HUCHA,1,nayade.rb,538132.58,4796526.96,29,23/09/2013,1 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Arteixo,PLAYA A SALSA,1,nayade.rb,538874,4797059,29,23/09/2013,1 UFC/100 mL,10 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Arteixo,PLAYA COMBOUZAS,1,nayade.rb,537100,4795879,29,23/09/2013,1 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Bergondo,PLAYA GANDARÍO,1,nayade.rb,562064.65,4799310.34,29,23/09/2013,10 UFC/100 mL,11 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Bergondo,PLAYA GANDARÍO,2,nayade.rb,561663.34,4799392.15,29,23/09/2013,10 UFC/100 mL,12 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Bergondo,PLAYA O PEDRIDO,1,nayade.rb,564042.97,4797711.76,29,23/09/2013,44 UFC/100 mL,68 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Bergondo,PLAYA O PEDRIDO,2,nayade.rb,564154.61,4797632.3,29,23/09/2013,52 UFC/100 mL,80 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA MAÑÓNS,1,nayade.rb,512251.05,4720023.72,29,23/09/2013,10 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA CARRAGUEIROS,1,nayade.rb,510438.66,4718037.06,29,23/09/2013,1 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA LADEIRA DO CHAZO,1,nayade.rb,511520.88,4718093.57,29,23/09/2013,10 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA RETORTA,1,nayade.rb,511252.52,4717438.62,29,23/09/2013,1 UFC/100 mL,1 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA PORTOMOURO,1,nayade.rb,513421.12,4720449.31,29,23/09/2013,10 UFC/100 mL,10 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA RIBEIRA GRANDE,1,nayade.rb,509534,4718241,29,23/09/2013,10 UFC/100 mL,10 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA PIÑEIRÓN,1,nayade.rb,510057,4718068,29,23/09/2013,1 UFC/100 mL,10 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Boiro,PLAYA PERALTO,1,nayade.rb,508222.84,4720760.8,29,23/09/2013,560 UFC/100 mL,120 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Cabanas,PLAYA A MAGDALENA,1,nayade.rb,567078.1,4807943.5,29,16/09/2013,10 UFC/100 mL,11 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Cabanas,PLAYA CHAMOSO,1,nayade.rb,566503.29,4808045.13,29,16/09/2013,52 UFC/100 mL,49 UFC/100 mL,Sin Calificar
Galicia,Coruña (A),Camariñas,PLAYA LINGUNDE,1,nayade.rb,486039.3,4776293.91,29,17/09/2013,10 UFC/100 mL,10 UFC/100 mL,Sin Calificar
